workload,input_tokens,output_tokens,variant,median_token_ttft_seconds,median_visible_ttft_seconds,median_total_seconds,median_visible_decode_tokens_per_second,median_end_to_end_visible_tokens_per_second
business_medium,150.0,56.0,W8_ANE,0.2422768545,0.242276938,2.234117771,27.542110883415848,25.065824776477363
business_medium,150.0,22.0,INT4_GPU,1.6433896875,1.6433899584999998,2.099392021,45.84117204831332,10.47924360849234
near4k_prefill,3778.0,6.0,W8_ANE,3.7197293125,3.7197294585,3.9523687709999997,21.393865583454176,1.5180770472212917
near4k_prefill,3778.0,6.0,INT4_GPU,13.3927717085,13.3927720835,13.52193625,38.556464636685774,0.4437234349562387
decode_256_cap,108.0,256.0,W8_ANE,0.205123438,0.20512360400000001,9.675166583500001,26.930905027263627,26.459493738006845
decode_256_cap,108.0,256.0,INT4_GPU,0.3901745625,0.390175,6.4536715625,42.21016140857212,39.76017055173583
